Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled
2024-08-10 00:00:00,2024-08-11 00:50:41,UTC-04:00,2024-08-10 18:49:30,2024-08-10 20:08:59,79,Activity,9.1,310.0,159,122,8,59,31,2,0,false
2024-08-01 01:08:51,2024-08-02 01:08:51,UTC-04:00,2024-08-01 20:16:30,2024-08-01 21:14:59,58,Stairmaster,9.4,259.0,160,124,9,49,22,16,0,false
2024-06-30 00:00:00,2024-06-30 21:45:21,UTC-04:00,2024-06-30 13:49:30,2024-06-30 14:52:29,62,Pilates,12.1,226.0,155,121,19,51,28,2,0,false
2024-06-18 23:46:40,2024-06-19 23:04:21,UTC-04:00,2024-06-19 20:15:00,2024-06-19 20:52:29,37,Stairmaster,11.4,217.0,183,134,10,44,11,12,23,false
2024-03-31 01:33:50,2024-04-01 00:16:20,UTC-07:00,2024-03-31 12:15:00,2024-03-31 13:25:29,70,Activity,11.5,327.0,179,127,11,45,24,11,7,false
2024-03-27 23:34:04,2024-03-29 10:23:25,UTC-07:00,2024-03-28 12:16:30,2024-03-28 13:02:59,46,Activity,5.0,82.0,141,104,41,35,4,0,0,false
2024-03-17 00:48:38,2024-03-17 23:45:21,UTC-07:00,2024-03-17 14:34:30,2024-03-17 15:01:29,26,Activity,5.3,75.0,147,117,27,47,26,0,0,false
2024-01-13 23:53:21,2024-01-15 00:33:18,UTC-08:00,2024-01-14 17:27:00,2024-01-14 18:02:59,35,Activity,7.0,161.0,159,126,2,54,40,3,0,false
2023-11-24 00:39:15,2023-11-25 00:20:39,UTC-08:00,2023-11-24 15:43:30,2023-11-24 16:16:29,32,Walking,5.3,81.0,142,115,21,69,10,0,0,false
2023-10-28 01:43:51,2023-10-29 02:40:04,UTC-06:00,2023-10-28 16:30:00,2023-10-28 17:11:59,41,Activity,6.8,163.0,153,123,3,69,28,0,0,false
2023-10-01 22:29:49,2023-10-02 22:29:49,UTC-07:00,2023-10-02 07:37:30,2023-10-02 07:55:29,17,Activity,4.6,43.0,136,115,14,83,3,0,0,false
2023-09-30 00:59:47,2023-10-01 00:48:11,UTC-07:00,2023-09-30 13:01:30,2023-09-30 13:44:59,43,Activity,6.4,138.0,164,111,39,51,7,1,0,false
